		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	beta[81]	0.01748	0.06286	0.002036	-0.1053	0.1454	7001	1000
	beta[82]	0.01312	0.0603	0.001601	-0.1041	0.1316	7001	1000
	beta[83]	0.06391	0.06874	0.002558	-0.06613	0.1985	7001	1000
	beta[84]	-0.05578	0.06076	0.001727	-0.1741	0.06619	7001	1000
	beta[85]	-0.04046	0.05985	0.001905	-0.1569	0.07269	7001	1000
	beta[86]	-0.00287	0.07774	0.002177	-0.1525	0.1531	7001	1000
	beta[87]	0.02403	0.08123	0.002346	-0.1413	0.1843	7001	1000
	beta[88]	0.05378	0.08693	0.002999	-0.1225	0.2283	7001	1000
	beta[89]	0.01165	0.06087	0.001636	-0.1095	0.1266	7001	1000
	beta[90]	0.0488	0.06927	0.002454	-0.0843	0.1802	7001	1000
	beta[91]	0.01355	0.06125	0.001741	-0.1042	0.1349	7001	1000
	beta[92]	0.1827	0.06475	0.002292	0.05355	0.3129	7001	1000
	beta[93]	0.04988	0.06039	0.002111	-0.06695	0.1662	7001	1000
	beta[94]	0.07641	0.05896	0.002074	-0.03692	0.1924	7001	1000
	beta[95]	-0.0315	0.08631	0.002552	-0.203	0.1379	7001	1000
	beta[96]	0.08882	0.06852	0.00207	-0.04694	0.2356	7001	1000
	beta[97]	-0.01386	0.0556	0.001605	-0.1216	0.09289	7001	1000
	beta[98]	0.02846	0.08667	0.003626	-0.1424	0.2031	7001	1000
	beta[99]	0.02676	0.05818	0.002014	-0.08724	0.1399	7001	1000
	beta[100]	0.03715	0.07188	0.002111	-0.1063	0.1731	7001	1000
	beta[101]	0.06039	0.07194	0.002084	-0.06908	0.2052	7001	1000
	beta[102]	0.06953	0.07242	0.002191	-0.07461	0.2091	7001	1000
	beta[103]	-0.05595	0.05691	0.001854	-0.1692	0.05302	7001	1000
	beta[104]	0.05893	0.08572	0.002963	-0.103	0.2268	7001	1000
	beta[105]	0.06275	0.05899	0.002059	-0.04748	0.1779	7001	1000
	beta[106]	0.0151	0.06825	0.002004	-0.1225	0.1503	7001	1000
	beta[107]	0.02734	0.05727	0.002158	-0.08511	0.1414	7001	1000
	beta[108]	-0.005424	0.06717	0.001906	-0.139	0.1227	7001	1000
	beta[109]	-0.07716	0.05938	0.001972	-0.1872	0.04218	7001	1000
	beta[110]	0.07298	0.0556	0.001591	-0.03798	0.1863	7001	1000
	beta[111]	0.01742	0.08573	0.002215	-0.1494	0.1871	7001	1000
	beta[112]	0.1	0.07138	0.00246	-0.0417	0.2486	7001	1000
	beta[113]	0.07016	0.05982	0.002112	-0.04283	0.1901	7001	1000
	beta[114]	0.08288	0.07002	0.002197	-0.04789	0.2178	7001	1000
	beta[115]	-0.01679	0.07001	0.002309	-0.1577	0.1149	7001	1000
	beta[116]	0.0248	0.07247	0.002548	-0.1235	0.1568	7001	1000
	beta[117]	0.09563	0.06865	0.002196	-0.04292	0.226	7001	1000
	beta[118]	0.09245	0.05542	0.001301	-0.01787	0.203	7001	1000
	beta[119]	-0.02672	0.08826	0.002655	-0.1961	0.1476	7001	1000
	beta[120]	0.06346	0.07305	0.002708	-0.08677	0.2118	7001	1000
	beta[121]	0.02646	0.06811	0.00183	-0.1025	0.1529	7001	1000
	beta[122]	0.06675	0.08788	0.003006	-0.09904	0.2353	7001	1000
	beta[123]	0.04613	0.0651	0.002413	-0.07918	0.1686	7001	1000
	beta[124]	0.07834	0.0555	0.002007	-0.02817	0.1866	7001	1000
	beta[125]	-0.07262	0.0677	0.001748	-0.2013	0.06278	7001	1000
	beta[126]	-0.1053	0.07256	0.001919	-0.2516	0.04145	7001	1000
	beta[127]	0.01926	0.05788	0.001674	-0.09269	0.1379	7001	1000
	beta[128]	-0.09537	0.05868	0.001616	-0.2077	0.01749	7001	1000
	beta[129]	-0.05386	0.0621	0.00165	-0.1757	0.06998	7001	1000
	beta[130]	0.006593	0.05914	0.002024	-0.1093	0.1268	7001	1000
	beta[131]	-0.09525	0.07054	0.002619	-0.2359	0.04276	7001	1000
	beta[132]	0.05224	0.08668	0.002913	-0.1098	0.2246	7001	1000
	beta[133]	0.03336	0.0669	0.002081	-0.09443	0.1691	7001	1000
	beta[134]	0.004539	0.06058	0.002007	-0.1187	0.1177	7001	1000
	beta[135]	-0.07535	0.06309	0.00239	-0.2052	0.04433	7001	1000
	beta[136]	0.05454	0.07414	0.001957	-0.08961	0.198	7001	1000
	beta[137]	-0.1023	0.05901	0.002003	-0.2119	0.01176	7001	1000
	beta[138]	0.08806	0.08057	0.002629	-0.06433	0.2525	7001	1000
	beta[139]	0.08377	0.06108	0.001747	-0.03716	0.2066	7001	1000
	beta[140]	0.165	0.06261	0.002013	0.04097	0.2908	7001	1000
	beta[141]	0.02677	0.07874	0.002631	-0.1257	0.1834	7001	1000
	beta[142]	0.01293	0.08705	0.002641	-0.1614	0.182	7001	1000
	beta[143]	0.05961	0.0614	0.001771	-0.06405	0.1741	7001	1000
	beta[144]	0.03762	0.05721	0.002071	-0.07138	0.1481	7001	1000
	beta[145]	0.09049	0.06247	0.002614	-0.03422	0.2149	7001	1000
	beta[146]	-0.01338	0.07967	0.002713	-0.1635	0.1407	7001	1000
	beta[147]	0.05312	0.06838	0.002196	-0.08515	0.1883	7001	1000
	beta[148]	0.08109	0.06006	0.001998	-0.03491	0.1917	7001	1000
	beta[149]	-0.02893	0.05831	0.001959	-0.1397	0.08385	7001	1000
	beta[150]	0.042	0.0566	0.001532	-0.07199	0.1481	7001	1000
	beta[151]	0.05037	0.08795	0.0031	-0.116	0.2282	7001	1000
	beta[152]	0.01224	0.05678	0.001984	-0.1027	0.1206	7001	1000
	beta[153]	0.05222	0.06953	0.001957	-0.08305	0.1932	7001	1000
	beta[154]	-0.09562	0.07453	0.002511	-0.2434	0.04921	7001	1000
	beta[155]	0.03995	0.06124	0.001862	-0.08006	0.1583	7001	1000
	beta[156]	0.02655	0.0574	0.001472	-0.08143	0.1405	7001	1000
	beta[157]	-0.05293	0.06748	0.001999	-0.1827	0.07621	7001	1000
	beta[158]	0.007649	0.05635	0.00174	-0.1012	0.1233	7001	1000
	beta[159]	0.03449	0.06785	0.001742	-0.1037	0.1712	7001	1000
	beta[160]	0.05348	0.05795	0.001574	-0.06251	0.1684	7001	1000
	beta[161]	-0.01566	0.07108	0.002249	-0.1577	0.1177	7001	1000
	beta[162]	-0.04035	0.07267	0.002442	-0.1766	0.1029	7001	1000
	beta[163]	-0.1127	0.05977	0.003237	-0.2272	0.003558	7001	1000
	beta[164]	0.09129	0.05974	0.001943	-0.02746	0.2088	7001	1000
	beta[165]	0.009469	0.07313	0.001813	-0.141	0.1463	7001	1000
	beta[166]	0.04773	0.05838	0.002239	-0.06853	0.1651	7001	1000
	beta[167]	0.05474	0.06269	0.00181	-0.06964	0.1808	7001	1000
	beta[168]	0.06099	0.06659	0.001722	-0.06392	0.192	7001	1000
	beta[169]	-0.036	0.0838	0.003112	-0.1971	0.1216	7001	1000
	beta[170]	-0.02982	0.05869	0.002127	-0.1444	0.08405	7001	1000
	beta[171]	0.06819	0.08023	0.002462	-0.08331	0.2272	7001	1000
	beta[172]	0.03711	0.05754	0.002217	-0.07523	0.1485	7001	1000
	beta[173]	-0.07855	0.06899	0.002309	-0.2116	0.04961	7001	1000
	beta[174]	-0.02534	0.06551	0.002064	-0.1467	0.09893	7001	1000
	beta[175]	0.06409	0.07627	0.003257	-0.08937	0.2071	7001	1000
	beta[176]	-0.113	0.06146	0.002284	-0.2329	0.008709	7001	1000
	beta[177]	-0.008825	0.07643	0.002387	-0.1549	0.1403	7001	1000
	beta[178]	-0.06623	0.06332	0.002411	-0.1889	0.06312	7001	1000
	beta[179]	0.0519	0.05883	0.001581	-0.06279	0.1682	7001	1000
	beta[180]	-0.02605	0.06876	0.002129	-0.1612	0.1046	7001	1000
	beta[181]	0.05882	0.06776	0.001912	-0.07267	0.1903	7001	1000
	beta[182]	0.01417	0.08769	0.002937	-0.1586	0.1729	7001	1000
	beta[183]	-0.009225	0.07154	0.002163	-0.1497	0.1289	7001	1000
	beta[184]	-0.05171	0.06232	0.002012	-0.1718	0.0744	7001	1000
	beta[185]	-0.1363	0.06915	0.001943	-0.2742	-0.00649	7001	1000
	beta[186]	0.01377	0.05891	0.002258	-0.1037	0.1239	7001	1000
	beta[187]	0.1086	0.07221	0.00201	-0.03476	0.2559	7001	1000
	beta[188]	0.01965	0.0556	0.001833	-0.09653	0.1287	7001	1000
	beta[189]	0.08662	0.05866	0.002316	-0.0315	0.2014	7001	1000
	beta[190]	0.0137	0.06691	0.001916	-0.1159	0.1544	7001	1000
	beta[191]	-0.006762	0.06987	0.002197	-0.1517	0.1333	7001	1000
	beta[192]	0.09865	0.06953	0.001594	-0.03716	0.2387	7001	1000
	beta[193]	0.06186	0.06883	0.002054	-0.06899	0.1978	7001	1000
	beta[194]	0.006369	0.06185	0.002096	-0.1168	0.1319	7001	1000
	beta[195]	-0.03418	0.05745	0.002002	-0.1497	0.08241	7001	1000
	beta[196]	0.09469	0.06038	0.001881	-0.02082	0.2134	7001	1000
	beta[197]	0.03382	0.07843	0.002313	-0.1318	0.1926	7001	1000
	beta[198]	0.08702	0.07848	0.001955	-0.06821	0.2506	7001	1000
	beta[199]	0.1452	0.07222	0.002183	0.007576	0.291	7001	1000
	beta[200]	0.005886	0.06225	0.001749	-0.1149	0.1241	7001	1000
	beta[201]	0.0919	0.08516	0.002156	-0.0734	0.2596	7001	1000
	beta[202]	0.01617	0.0548	0.00177	-0.08718	0.1263	7001	1000
	beta[203]	0.009639	0.05861	0.001917	-0.1071	0.1226	7001	1000
	beta[204]	-0.0676	0.07694	0.002345	-0.2236	0.09033	7001	1000
	beta[205]	-0.01072	0.06181	0.001998	-0.1335	0.1094	7001	1000
	beta[206]	0.01903	0.07387	0.002303	-0.1283	0.1606	7001	1000
	beta[207]	0.02207	0.07059	0.002475	-0.1194	0.1614	7001	1000
	beta[208]	0.006987	0.08483	0.002271	-0.1636	0.1848	7001	1000
	beta[209]	-0.01566	0.07122	0.002384	-0.1537	0.1256	7001	1000
	beta[210]	-0.02058	0.05977	0.001841	-0.1366	0.09266	7001	1000
	beta[211]	0.0149	0.05766	0.002243	-0.1041	0.1254	7001	1000
	beta[212]	0.137	0.07142	0.00245	-0.006948	0.288	7001	1000
	beta[213]	0.02079	0.05626	0.001917	-0.09519	0.1293	7001	1000
	beta[214]	-0.03444	0.05765	0.001833	-0.1411	0.08329	7001	1000
	beta[215]	0.02837	0.07049	0.002183	-0.1094	0.1616	7001	1000
	beta[216]	-0.001524	0.07726	0.002353	-0.1548	0.1465	7001	1000
	beta[217]	0.008708	0.07022	0.002036	-0.1223	0.1419	7001	1000
	beta[218]	0.002526	0.08898	0.002284	-0.1721	0.1981	7001	1000
	beta[219]	-0.01632	0.06209	0.001643	-0.1403	0.1029	7001	1000
	beta[220]	-0.06626	0.08838	0.003032	-0.2501	0.1085	7001	1000
	beta[221]	-0.03118	0.08109	0.002792	-0.1977	0.1261	7001	1000
	beta[222]	0.05049	0.07052	0.002332	-0.09642	0.1785	7001	1000
	beta[223]	0.07717	0.07119	0.001947	-0.06544	0.2125	7001	1000
	beta[224]	0.02878	0.07844	0.002351	-0.1333	0.1741	7001	1000
	beta[225]	-0.03597	0.06113	0.00216	-0.1569	0.08866	7001	1000
	beta[226]	-0.04025	0.07078	0.002448	-0.1789	0.09926	7001	1000
	beta[227]	0.1324	0.06099	0.001859	0.01676	0.2508	7001	1000
	beta[228]	-0.001989	0.07084	0.002241	-0.1364	0.1307	7001	1000
	beta[229]	0.001658	0.06988	0.002203	-0.1346	0.1419	7001	1000
	beta[230]	0.03605	0.0755	0.002907	-0.1111	0.1845	7001	1000
	beta[231]	0.07384	0.06623	0.00161	-0.06519	0.2108	7001	1000
	beta[232]	-0.05813	0.08679	0.002998	-0.2319	0.107	7001	1000
	beta[233]	0.07815	0.07131	0.002126	-0.05931	0.2191	7001	1000
	beta[234]	0.03694	0.08714	0.003397	-0.1263	0.2163	7001	1000
	beta[235]	0.01194	0.06825	0.001622	-0.1232	0.1415	7001	1000
	beta[236]	0.07791	0.06194	0.002134	-0.03782	0.2024	7001	1000
	beta[237]	0.1439	0.06074	0.002456	0.02506	0.2548	7001	1000
	beta[238]	0.01176	0.06584	0.001777	-0.1143	0.1388	7001	1000
	beta[239]	-6.91E-4	0.09099	0.002945	-0.1861	0.172	7001	1000
	beta[240]	0.006271	0.08405	0.002506	-0.1562	0.1754	7001	1000
	beta[241]	0.198	0.07967	0.002355	0.04289	0.3569	7001	1000
	beta[242]	0.05514	0.07326	0.002709	-0.08214	0.1961	7001	1000
	beta[243]	0.005649	0.07246	0.002667	-0.1424	0.1429	7001	1000
	beta[244]	-0.001297	0.09357	0.002608	-0.1901	0.1783	7001	1000
	beta[245]	-0.04484	0.06961	0.001844	-0.1764	0.08796	7001	1000
	beta[246]	0.01494	0.09456	0.002998	-0.1712	0.1903	7001	1000
	beta[247]	-0.1172	0.07035	0.00217	-0.2586	0.01833	7001	1000
	beta[248]	7.262E-4	0.07095	0.001912	-0.1365	0.139	7001	1000
	beta[249]	0.0144	0.07887	0.002078	-0.1363	0.169	7001	1000
	beta[250]	-0.001733	0.07316	0.002436	-0.1441	0.1475	7001	1000
	beta[251]	-0.002634	0.09521	0.003423	-0.1909	0.1785	7001	1000
	beta[252]	-0.09507	0.07291	0.002153	-0.2374	0.04902	7001	1000
	beta[253]	0.01108	0.06885	0.00202	-0.1228	0.1454	7001	1000
	beta[254]	-0.05843	0.09575	0.00234	-0.253	0.1293	7001	1000
	beta[255]	0.05701	0.07189	0.002879	-0.08747	0.2003	7001	1000
	beta[256]	-0.06285	0.07923	0.003008	-0.2159	0.09331	7001	1000
	beta[257]	0.09349	0.06862	0.002087	-0.04154	0.2378	7001	1000
