		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[89]	1.582	0.4359	0.04037	0.7236	2.421	7001	1000
	alpha[90]	3.222	0.4166	0.03992	2.408	4.02	7001	1000
	alpha[91]	4.415	0.3672	0.04057	3.647	5.105	7001	1000
	alpha[92]	3.214	0.4126	0.03918	2.37	3.967	7001	1000
	alpha[93]	2.047	0.3757	0.03752	1.271	2.765	7001	1000
	alpha[94]	1.943	0.34	0.03493	1.273	2.57	7001	1000
	alpha[95]	3.919	0.5434	0.04166	2.849	4.96	7001	1000
	alpha[96]	1.964	0.3942	0.03514	1.18	2.726	7001	1000
	alpha[97]	2.321	0.366	0.04119	1.554	3.034	7001	1000
	alpha[98]	3.006	0.5786	0.04226	1.779	4.039	7001	1000
	alpha[99]	3.538	0.384	0.03787	2.753	4.27	7001	1000
	alpha[100]	4.067	0.4175	0.04003	3.249	4.932	7001	1000
	alpha[101]	2.857	0.436	0.04234	1.973	3.735	7001	1000
	alpha[102]	3.079	0.4234	0.03978	2.192	3.916	7001	1000
	alpha[103]	2.826	0.3558	0.0354	2.071	3.476	7001	1000
	alpha[104]	1.937	0.5799	0.04566	0.7949	3.08	7001	1000
	alpha[105]	3.073	0.3538	0.03999	2.359	3.719	7001	1000
	alpha[106]	2.197	0.4151	0.03995	1.4	3.004	7001	1000
	alpha[107]	2.685	0.3687	0.04295	1.892	3.429	7001	1000
	alpha[108]	4.122	0.3679	0.03571	3.366	4.801	7001	1000
	alpha[109]	3.376	0.392	0.04186	2.588	4.105	7001	1000
	alpha[110]	2.973	0.3607	0.03864	2.257	3.7	7001	1000
	alpha[111]	3.233	0.6641	0.0464	1.939	4.556	7001	1000
	alpha[112]	3.993	0.4225	0.04097	3.131	4.77	7001	1000
	alpha[113]	1.838	0.3927	0.04051	1.053	2.575	7001	1000
	alpha[114]	2.296	0.4274	0.04009	1.48	3.144	7001	1000
	alpha[115]	1.696	0.4145	0.0415	0.8942	2.473	7001	1000
	alpha[116]	1.551	0.4181	0.0406	0.686	2.329	7001	1000
	alpha[117]	2.766	0.4072	0.03794	1.967	3.551	7001	1000
	alpha[118]	2.518	0.3495	0.03836	1.824	3.174	7001	1000
	alpha[119]	3.932	0.5879	0.04583	2.81	5.1	7001	1000
	alpha[120]	3.073	0.4383	0.04284	2.208	3.927	7001	1000
	alpha[121]	4.054	0.4313	0.04332	3.181	4.851	7001	1000
	alpha[122]	2.046	0.6607	0.03687	0.7822	3.353	7001	1000
	alpha[123]	2.678	0.3996	0.04565	1.873	3.448	7001	1000
	alpha[124]	1.896	0.3634	0.04132	1.198	2.598	7001	1000
	alpha[125]	1.803	0.3659	0.037	1.07	2.508	7001	1000
	alpha[126]	2.789	0.4264	0.04092	1.92	3.664	7001	1000
	alpha[127]	2.452	0.3661	0.04303	1.647	3.119	7001	1000
	alpha[128]	2.883	0.3833	0.03768	2.111	3.594	7001	1000
	alpha[129]	3.637	0.3786	0.0353	2.828	4.339	7001	1000
	alpha[130]	3.292	0.3584	0.03828	2.57	3.981	7001	1000
	alpha[131]	2.716	0.4181	0.03753	1.853	3.496	7001	1000
	alpha[132]	2.726	0.6591	0.04397	1.392	4.048	7001	1000
	alpha[133]	1.589	0.4001	0.04302	0.7752	2.319	7001	1000
	alpha[134]	2.377	0.3881	0.0384	1.59	3.141	7001	1000
	alpha[135]	2.96	0.3866	0.03766	2.222	3.717	7001	1000
	alpha[136]	1.701	0.4376	0.04317	0.811	2.519	7001	1000
	alpha[137]	3.185	0.3244	0.03237	2.588	3.819	7001	1000
	alpha[138]	2.149	0.4596	0.03656	1.271	3.029	7001	1000
	alpha[139]	2.873	0.3564	0.03684	2.158	3.55	7001	1000
	alpha[140]	2.425	0.3583	0.03488	1.689	3.111	7001	1000
	alpha[141]	4.187	0.4631	0.03998	3.234	5.053	7001	1000
	alpha[142]	3.213	0.5833	0.04262	2.088	4.302	7001	1000
	alpha[143]	2.25	0.3641	0.03761	1.489	2.919	7001	1000
	alpha[144]	2.136	0.3586	0.04135	1.377	2.848	7001	1000
	alpha[145]	3.844	0.3545	0.02902	3.182	4.535	7001	1000
	alpha[146]	4.505	0.4289	0.03196	3.68	5.342	7001	1000
	alpha[147]	3.221	0.3661	0.03641	2.493	3.901	7001	1000
	alpha[148]	2.357	0.3711	0.04084	1.607	3.088	7001	1000
	alpha[149]	2.974	0.3522	0.04081	2.23	3.635	7001	1000
	alpha[150]	3.476	0.3505	0.03951	2.813	4.176	7001	1000
	alpha[151]	2.787	0.6749	0.04785	1.466	4.135	7001	1000
	alpha[152]	2.44	0.3661	0.04327	1.703	3.14	7001	1000
	alpha[153]	2.779	0.4011	0.03609	2.023	3.592	7001	1000
	alpha[154]	2.85	0.4506	0.04305	1.937	3.734	7001	1000
	alpha[155]	2.906	0.3922	0.03819	2.159	3.693	7001	1000
	alpha[156]	3.191	0.3877	0.04116	2.406	3.975	7001	1000
	alpha[157]	3.05	0.3904	0.04198	2.272	3.796	7001	1000
	alpha[158]	3.036	0.3733	0.0446	2.276	3.696	7001	1000
	alpha[159]	2.272	0.3803	0.03928	1.514	3.026	7001	1000
	alpha[160]	2.173	0.3578	0.04186	1.409	2.846	7001	1000
	alpha[161]	4.378	0.4165	0.03661	3.542	5.144	7001	1000
	alpha[162]	2.771	0.4428	0.041	1.858	3.616	7001	1000
	alpha[163]	3.525	0.3117	0.02257	2.864	4.138	7001	1000
	alpha[164]	3.405	0.3764	0.03964	2.668	4.129	7001	1000
	alpha[165]	2.423	0.4429	0.04233	1.565	3.294	7001	1000
	alpha[166]	4.107	0.3551	0.04115	3.371	4.763	7001	1000
	alpha[167]	2.644	0.3668	0.03572	1.916	3.337	7001	1000
	alpha[168]	3.137	0.3641	0.03566	2.44	3.857	7001	1000
	alpha[169]	3.873	0.5766	0.04137	2.743	4.992	7001	1000
	alpha[170]	3.944	0.3668	0.04071	3.225	4.638	7001	1000
	alpha[171]	3.987	0.4632	0.04292	3.09	4.904	7001	1000
	alpha[172]	2.212	0.3626	0.04058	1.453	2.89	7001	1000
	alpha[173]	3.494	0.3835	0.04128	2.739	4.211	7001	1000
	alpha[174]	2.034	0.4206	0.04386	1.188	2.867	7001	1000
	alpha[175]	3.986	0.3793	0.02499	3.221	4.711	7001	1000
	alpha[176]	2.296	0.3743	0.03704	1.489	2.994	7001	1000
	alpha[177]	4.091	0.4524	0.03666	3.174	5.017	7001	1000
	alpha[178]	3.591	0.3484	0.03342	2.876	4.233	7001	1000
	alpha[179]	3.505	0.365	0.03988	2.753	4.193	7001	1000
	alpha[180]	4.255	0.4167	0.03921	3.379	5.062	7001	1000
	alpha[181]	3.543	0.3757	0.03835	2.79	4.241	7001	1000
	alpha[182]	3.771	0.5888	0.04615	2.565	4.912	7001	1000
	alpha[183]	3.241	0.4185	0.04109	2.357	4.049	7001	1000
	alpha[184]	2.917	0.3739	0.03786	2.127	3.646	7001	1000
	alpha[185]	3.348	0.3708	0.03582	2.607	4.104	7001	1000
	alpha[186]	1.517	0.3645	0.03684	0.7593	2.201	7001	1000
	alpha[187]	2.446	0.4249	0.03907	1.578	3.265	7001	1000
	alpha[188]	2.332	0.3672	0.04186	1.533	3.042	7001	1000
	alpha[189]	2.023	0.3533	0.03894	1.307	2.722	7001	1000
	alpha[190]	3.359	0.3922	0.0384	2.531	4.107	7001	1000
	alpha[191]	3.306	0.4124	0.03825	2.456	4.05	7001	1000
	alpha[192]	3.75	0.3869	0.03642	2.981	4.451	7001	1000
	alpha[193]	2.04	0.3901	0.04168	1.261	2.77	7001	1000
	alpha[194]	3.346	0.364	0.03624	2.632	4.026	7001	1000
	alpha[195]	3.929	0.3535	0.03963	3.156	4.633	7001	1000
	alpha[196]	2.091	0.4082	0.04509	1.265	2.861	7001	1000
	alpha[197]	1.648	0.4567	0.03674	0.8005	2.553	7001	1000
	alpha[198]	2.129	0.488	0.0402	1.16	3.093	7001	1000
	alpha[199]	3.616	0.4203	0.03737	2.78	4.432	7001	1000
	alpha[200]	1.509	0.382	0.04028	0.7405	2.255	7001	1000
	alpha[201]	2.274	0.6578	0.04459	1.027	3.579	7001	1000
	alpha[202]	2.737	0.3612	0.04099	1.977	3.418	7001	1000
	alpha[203]	2.511	0.3551	0.04023	1.769	3.213	7001	1000
	alpha[204]	3.501	0.4332	0.04183	2.65	4.347	7001	1000
	alpha[205]	3.719	0.374	0.04056	2.926	4.402	7001	1000
	alpha[206]	3.334	0.4753	0.04128	2.402	4.241	7001	1000
	alpha[207]	2.477	0.5032	0.04537	1.505	3.509	7001	1000
	alpha[208]	2.946	0.5817	0.04782	1.79	4.059	7001	1000
	alpha[209]	2.813	0.4063	0.03878	2.014	3.589	7001	1000
