		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[89]	2.038	0.4131	0.03504	1.223	2.854	2000	1000
	alpha[90]	3.483	0.3903	0.03358	2.736	4.245	2000	1000
	alpha[91]	4.763	0.3492	0.03178	4.098	5.45	2000	1000
	alpha[92]	3.367	0.4111	0.03277	2.525	4.152	2000	1000
	alpha[93]	2.387	0.3832	0.02972	1.643	3.138	2000	1000
	alpha[94]	2.21	0.3327	0.02771	1.556	2.849	2000	1000
	alpha[95]	4.35	0.4721	0.034	3.417	5.283	2000	1000
	alpha[96]	2.162	0.3787	0.03531	1.438	2.914	2000	1000
	alpha[97]	2.719	0.348	0.03324	2.074	3.412	2000	1000
	alpha[98]	3.263	0.4645	0.03402	2.387	4.205	2000	1000
	alpha[99]	3.847	0.3817	0.02949	3.111	4.608	2000	1000
	alpha[100]	4.326	0.3616	0.0287	3.621	5.037	2000	1000
	alpha[101]	3.076	0.4084	0.03361	2.278	3.924	2000	1000
	alpha[102]	3.357	0.4277	0.03361	2.498	4.217	2000	1000
	alpha[103]	3.234	0.3544	0.03422	2.527	3.952	2000	1000
	alpha[104]	2.219	0.4888	0.03697	1.288	3.182	2000	1000
	alpha[105]	3.414	0.3611	0.03623	2.747	4.115	2000	1000
	alpha[106]	2.598	0.3794	0.03403	1.881	3.325	2000	1000
	alpha[107]	3.083	0.3498	0.0337	2.353	3.781	2000	1000
	alpha[108]	4.426	0.361	0.03089	3.695	5.106	2000	1000
	alpha[109]	3.802	0.3795	0.03601	3.054	4.584	2000	1000
	alpha[110]	3.214	0.3546	0.03056	2.53	3.887	2000	1000
	alpha[111]	3.508	0.5843	0.03415	2.457	4.775	2000	1000
	alpha[112]	4.094	0.3759	0.03498	3.366	4.823	2000	1000
	alpha[113]	2.166	0.3917	0.03632	1.443	2.962	2000	1000
	alpha[114]	2.545	0.4042	0.03176	1.763	3.332	2000	1000
	alpha[115]	2.17	0.3837	0.03343	1.438	2.897	2000	1000
	alpha[116]	1.975	0.4397	0.03775	1.115	2.856	2000	1000
	alpha[117]	2.956	0.3932	0.03618	2.206	3.719	2000	1000
	alpha[118]	2.791	0.3384	0.03195	2.127	3.426	2000	1000
	alpha[119]	4.465	0.4585	0.03319	3.532	5.394	2000	1000
	alpha[120]	3.377	0.4155	0.03275	2.584	4.231	2000	1000
	alpha[121]	4.372	0.3868	0.0332	3.649	5.113	2000	1000
	alpha[122]	2.406	0.5836	0.03732	1.264	3.611	2000	1000
	alpha[123]	3.045	0.3861	0.03597	2.291	3.813	2000	1000
	alpha[124]	2.204	0.3424	0.0335	1.562	2.872	2000	1000
	alpha[125]	2.28	0.3567	0.03109	1.575	2.968	2000	1000
	alpha[126]	3.286	0.4053	0.03192	2.523	4.084	2000	1000
	alpha[127]	2.87	0.3644	0.03831	2.212	3.582	2000	1000
	alpha[128]	3.341	0.3711	0.02956	2.639	4.1	2000	1000
	alpha[129]	3.915	0.3599	0.03011	3.236	4.69	2000	1000
	alpha[130]	3.614	0.3588	0.03177	2.922	4.3	2000	1000
	alpha[131]	3.298	0.4089	0.03115	2.46	4.067	2000	1000
	alpha[132]	3.004	0.5623	0.03641	1.976	4.088	2000	1000
	alpha[133]	1.985	0.3693	0.03511	1.27	2.736	2000	1000
	alpha[134]	2.689	0.3804	0.03336	1.957	3.442	2000	1000
	alpha[135]	3.321	0.3875	0.0301	2.574	4.096	2000	1000
	alpha[136]	2.057	0.4004	0.03685	1.315	2.84	2000	1000
	alpha[137]	3.454	0.3325	0.02683	2.771	4.105	2000	1000
	alpha[138]	2.259	0.4038	0.03007	1.476	3.041	2000	1000
	alpha[139]	3.079	0.3651	0.03529	2.332	3.776	2000	1000
	alpha[140]	2.521	0.3576	0.03305	1.85	3.23	2000	1000
	alpha[141]	4.476	0.419	0.03292	3.653	5.345	2000	1000
	alpha[142]	3.617	0.4825	0.03245	2.675	4.576	2000	1000
	alpha[143]	2.531	0.3484	0.02962	1.876	3.22	2000	1000
	alpha[144]	2.462	0.346	0.03465	1.78	3.174	2000	1000
	alpha[145]	3.84	0.3685	0.02747	3.099	4.593	2000	1000
	alpha[146]	4.649	0.3917	0.02241	3.856	5.364	2000	1000
	alpha[147]	3.472	0.3573	0.02904	2.774	4.145	2000	1000
	alpha[148]	2.655	0.3778	0.0362	1.924	3.407	2000	1000
	alpha[149]	3.382	0.3573	0.03556	2.665	4.095	2000	1000
	alpha[150]	3.844	0.3427	0.03064	3.16	4.512	2000	1000
	alpha[151]	3.047	0.5813	0.03405	1.972	4.219	2000	1000
	alpha[152]	2.829	0.3471	0.03427	2.178	3.511	2000	1000
	alpha[153]	2.979	0.3668	0.03372	2.263	3.685	2000	1000
	alpha[154]	3.37	0.4243	0.03466	2.556	4.167	2000	1000
	alpha[155]	3.158	0.3854	0.03124	2.446	3.904	2000	1000
	alpha[156]	3.539	0.3755	0.03654	2.81	4.282	2000	1000
	alpha[157]	3.547	0.3693	0.03331	2.827	4.265	2000	1000
	alpha[158]	3.474	0.3631	0.03825	2.777	4.213	2000	1000
	alpha[159]	2.623	0.3565	0.0329	1.969	3.318	2000	1000
	alpha[160]	2.511	0.3543	0.0352	1.84	3.259	2000	1000
	alpha[161]	4.635	0.3874	0.02517	3.848	5.391	2000	1000
	alpha[162]	3.294	0.3784	0.03261	2.55	4.025	2000	1000
	alpha[163]	3.806	0.3108	0.01721	3.177	4.438	2000	1000
	alpha[164]	3.616	0.3716	0.03003	2.838	4.326	2000	1000
	alpha[165]	2.869	0.4349	0.04294	2.014	3.756	2000	1000
	alpha[166]	4.437	0.3559	0.03262	3.746	5.155	2000	1000
	alpha[167]	2.975	0.376	0.03031	2.226	3.689	2000	1000
	alpha[168]	3.341	0.3523	0.03334	2.664	4.048	2000	1000
	alpha[169]	4.231	0.4496	0.02981	3.391	5.103	2000	1000
	alpha[170]	4.314	0.3565	0.03052	3.618	4.973	2000	1000
	alpha[171]	4.238	0.4181	0.03215	3.383	5.065	2000	1000
	alpha[172]	2.559	0.3442	0.03385	1.921	3.218	2000	1000
	alpha[173]	4.024	0.3778	0.03333	3.311	4.77	2000	1000
	alpha[174]	2.533	0.4128	0.03731	1.694	3.333	2000	1000
	alpha[175]	3.83	0.3756	0.01858	3.104	4.575	2000	1000
	alpha[176]	2.768	0.3861	0.0307	2.022	3.518	2000	1000
	alpha[177]	4.462	0.403	0.0271	3.679	5.222	2000	1000
	alpha[178]	4.012	0.3667	0.02666	3.288	4.778	2000	1000
	alpha[179]	3.772	0.3616	0.03251	3.091	4.471	2000	1000
	alpha[180]	4.542	0.3792	0.03018	3.811	5.341	2000	1000
	alpha[181]	3.733	0.364	0.03094	2.991	4.447	2000	1000
	alpha[182]	4.075	0.4917	0.03805	3.095	5.078	2000	1000
	alpha[183]	3.643	0.3929	0.03436	2.886	4.428	2000	1000
	alpha[184]	3.275	0.3734	0.03274	2.573	4.019	2000	1000
	alpha[185]	3.961	0.3447	0.03234	3.277	4.669	2000	1000
	alpha[186]	1.861	0.355	0.02964	1.184	2.526	2000	1000
	alpha[187]	2.616	0.385	0.03439	1.847	3.344	2000	1000
	alpha[188]	2.721	0.3477	0.035	2.005	3.383	2000	1000
	alpha[189]	2.323	0.344	0.03465	1.675	3.042	2000	1000
	alpha[190]	3.703	0.3871	0.03454	2.981	4.437	2000	1000
	alpha[191]	3.69	0.3926	0.03556	2.968	4.442	2000	1000
	alpha[192]	3.876	0.3728	0.03154	3.123	4.626	2000	1000
	alpha[193]	2.278	0.3534	0.03001	1.559	2.992	2000	1000
	alpha[194]	3.604	0.3488	0.03153	2.906	4.29	2000	1000
	alpha[195]	4.336	0.3395	0.03334	3.718	5.023	2000	1000
	alpha[196]	2.429	0.3858	0.03592	1.675	3.178	2000	1000
	alpha[197]	1.916	0.4046	0.03277	1.117	2.723	2000	1000
	alpha[198]	2.364	0.4543	0.03202	1.483	3.23	2000	1000
	alpha[199]	3.661	0.3629	0.03124	2.997	4.41	2000	1000
	alpha[200]	1.918	0.383	0.03528	1.149	2.649	2000	1000
	alpha[201]	2.341	0.5938	0.04095	1.193	3.554	2000	1000
	alpha[202]	3.159	0.351	0.03504	2.457	3.855	2000	1000
	alpha[203]	2.909	0.3473	0.0318	2.229	3.58	2000	1000
	alpha[204]	3.984	0.3869	0.03111	3.211	4.697	2000	1000
	alpha[205]	3.974	0.3528	0.0318	3.284	4.676	2000	1000
	alpha[206]	3.631	0.4538	0.03514	2.773	4.554	2000	1000
	alpha[207]	2.83	0.4805	0.03989	1.876	3.786	2000	1000
	alpha[208]	3.359	0.4725	0.03627	2.434	4.359	2000	1000
	alpha[209]	3.16	0.3827	0.03134	2.374	3.905	2000	1000
	alpha[210]	3.094	0.3617	0.03138	2.427	3.786	2000	1000
	alpha[211]	1.926	0.3103	0.0275	1.281	2.548	2000	1000
	alpha[212]	4.05	0.3944	0.03199	3.319	4.809	2000	1000
	alpha[213]	1.941	0.3571	0.03614	1.292	2.604	2000	1000
	alpha[214]	3.869	0.3765	0.03314	3.164	4.625	2000	1000
	alpha[215]	2.817	0.4164	0.03498	1.984	3.668	2000	1000
	alpha[216]	3.723	0.4013	0.03592	2.918	4.545	2000	1000
	alpha[217]	4.108	0.4124	0.03374	3.292	4.904	2000	1000
	alpha[218]	3.348	0.5827	0.03426	2.179	4.521	2000	1000
	alpha[219]	4.25	0.3774	0.02808	3.546	4.979	2000	1000
	alpha[220]	4.514	0.5716	0.02985	3.402	5.634	2000	1000
	alpha[221]	3.329	0.4057	0.03071	2.54	4.134	2000	1000
	alpha[222]	2.383	0.3857	0.03489	1.645	3.147	2000	1000
	alpha[223]	3.093	0.4125	0.03057	2.267	3.932	2000	1000
	alpha[224]	4.691	0.3732	0.0307	3.965	5.423	2000	1000
	alpha[225]	4.482	0.3352	0.02787	3.838	5.131	2000	1000
	alpha[226]	4.755	0.342	0.02275	4.098	5.429	2000	1000
	alpha[227]	3.474	0.3766	0.03501	2.742	4.207	2000	1000
	alpha[228]	3.437	0.3806	0.03023	2.692	4.199	2000	1000
	alpha[229]	3.587	0.3791	0.03202	2.858	4.343	2000	1000
	alpha[230]	2.809	0.4188	0.03356	1.983	3.59	2000	1000
	alpha[231]	2.18	0.348	0.0304	1.509	2.869	2000	1000
	alpha[232]	4.436	0.5598	0.03041	3.309	5.532	2000	1000
	alpha[233]	4.148	0.4193	0.03254	3.342	4.988	2000	1000
	alpha[234]	4.534	0.4635	0.02899	3.628	5.432	2000	1000
	alpha[235]	3.14	0.3641	0.03314	2.421	3.869	2000	1000
	alpha[236]	3.028	0.3765	0.02942	2.263	3.744	2000	1000
	alpha[237]	3.141	0.3655	0.0304	2.457	3.889	2000	1000
	alpha[238]	4.014	0.381	0.03226	3.237	4.792	2000	1000
	alpha[239]	3.985	0.5404	0.02447	2.911	5.014	2000	1000
	alpha[240]	2.878	0.447	0.02951	2.002	3.789	2000	1000
	alpha[241]	3.239	0.385	0.03438	2.49	3.998	2000	1000
	alpha[242]	2.236	0.4139	0.03118	1.438	3.078	2000	1000
	alpha[243]	1.986	0.4092	0.03086	1.161	2.763	2000	1000
	alpha[244]	4.08	0.5595	0.03682	3.003	5.226	2000	1000
	alpha[245]	4.041	0.4049	0.02845	3.28	4.88	2000	1000
	alpha[246]	4.049	0.4653	0.03438	3.161	4.989	2000	1000
	alpha[247]	3.387	0.3363	0.02739	2.728	4.059	2000	1000
	alpha[248]	2.774	0.4076	0.03241	2.03	3.566	2000	1000
	alpha[249]	3.373	0.4049	0.0306	2.559	4.142	2000	1000
	alpha[250]	3.503	0.42	0.03279	2.717	4.344	2000	1000
	alpha[251]	3.563	0.5662	0.03277	2.5	4.705	2000	1000
	alpha[252]	3.906	0.359	0.02718	3.222	4.61	2000	1000
