		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[88]	2.171	0.7117	0.04994	0.8393	3.626	3000	1000
	alpha[89]	0.9432	0.4829	0.04954	-0.007634	1.914	3000	1000
	alpha[90]	2.697	0.437	0.04925	1.893	3.639	3000	1000
	alpha[91]	4.132	0.4059	0.04597	3.332	4.905	3000	1000
	alpha[92]	2.61	0.4797	0.04735	1.683	3.58	3000	1000
	alpha[93]	1.55	0.4152	0.04002	0.7951	2.365	3000	1000
	alpha[94]	1.611	0.3776	0.04042	0.8831	2.386	3000	1000
	alpha[95]	3.968	0.5349	0.04721	2.934	5.032	3000	1000
	alpha[96]	1.183	0.4209	0.04327	0.4084	2.053	3000	1000
	alpha[97]	1.868	0.3871	0.04552	1.15	2.661	3000	1000
	alpha[98]	2.487	0.5279	0.04347	1.476	3.509	3000	1000
	alpha[99]	3.171	0.4155	0.0439	2.343	4.006	3000	1000
	alpha[100]	3.697	0.4311	0.04876	2.866	4.559	3000	1000
	alpha[101]	2.299	0.4548	0.04507	1.389	3.178	3000	1000
	alpha[102]	2.618	0.4634	0.04274	1.698	3.479	3000	1000
	alpha[103]	2.475	0.4001	0.04523	1.749	3.285	3000	1000
	alpha[104]	0.9867	0.5457	0.05237	-0.06597	2.094	3000	1000
	alpha[105]	2.571	0.3946	0.04731	1.797	3.39	3000	1000
	alpha[106]	1.672	0.4353	0.0477	0.8055	2.598	3000	1000
	alpha[107]	2.332	0.3914	0.04787	1.593	3.124	3000	1000
	alpha[108]	3.878	0.4052	0.04582	3.095	4.692	3000	1000
	alpha[109]	3.147	0.4238	0.04412	2.343	3.984	3000	1000
	alpha[110]	2.64	0.4073	0.04627	1.873	3.458	3000	1000
	alpha[111]	3.13	0.7039	0.0369	1.835	4.569	3000	1000
	alpha[112]	3.456	0.4317	0.04855	2.599	4.345	3000	1000
	alpha[113]	1.181	0.427	0.04559	0.3759	2.051	3000	1000
	alpha[114]	1.612	0.4703	0.04707	0.7193	2.592	3000	1000
	alpha[115]	1.227	0.4224	0.04603	0.3675	2.038	3000	1000
	alpha[116]	1.101	0.4784	0.04685	0.2332	2.092	3000	1000
	alpha[117]	2.122	0.4443	0.04896	1.239	3.008	3000	1000
	alpha[118]	1.913	0.3787	0.04432	1.19	2.696	3000	1000
	alpha[119]	4.017	0.5758	0.05727	2.918	5.144	3000	1000
	alpha[120]	2.672	0.4639	0.04426	1.765	3.577	3000	1000
	alpha[121]	3.697	0.4438	0.04944	2.807	4.573	3000	1000
	alpha[122]	1.152	0.7259	0.0559	-0.3066	2.556	3000	1000
	alpha[123]	2.284	0.4236	0.05078	1.497	3.134	3000	1000
	alpha[124]	1.23	0.3946	0.04686	0.472	2.019	3000	1000
	alpha[125]	1.627	0.381	0.04037	0.8676	2.394	3000	1000
	alpha[126]	2.536	0.4605	0.04371	1.633	3.436	3000	1000
	alpha[127]	1.92	0.4119	0.05255	1.124	2.761	3000	1000
	alpha[128]	2.617	0.4032	0.04259	1.843	3.388	3000	1000
	alpha[129]	3.33	0.4167	0.04355	2.547	4.191	3000	1000
	alpha[130]	2.865	0.4142	0.0463	2.057	3.719	3000	1000
	alpha[131]	2.66	0.4627	0.04023	1.753	3.575	3000	1000
	alpha[132]	2.041	0.729	0.05393	0.6061	3.488	3000	1000
	alpha[133]	0.9533	0.4185	0.05005	0.1789	1.792	3000	1000
	alpha[134]	1.854	0.4282	0.04665	0.9583	2.715	3000	1000
	alpha[135]	2.789	0.4282	0.04415	1.928	3.614	3000	1000
	alpha[136]	0.9708	0.4574	0.05235	0.07113	1.936	3000	1000
	alpha[137]	3.169	0.3471	0.03366	2.477	3.871	3000	1000
	alpha[138]	1.423	0.4386	0.04151	0.5549	2.262	3000	1000
	alpha[139]	2.289	0.3907	0.04461	1.544	3.033	3000	1000
	alpha[140]	1.676	0.3864	0.04268	0.9291	2.524	3000	1000
	alpha[141]	4.131	0.4625	0.0465	3.27	5.049	3000	1000
	alpha[142]	2.915	0.5464	0.05174	1.883	4.014	3000	1000
	alpha[143]	1.873	0.3806	0.04029	1.145	2.565	3000	1000
	alpha[144]	1.529	0.3812	0.04578	0.7559	2.274	3000	1000
	alpha[145]	3.359	0.3835	0.0324	2.622	4.115	3000	1000
	alpha[146]	4.851	0.4068	0.02385	4.062	5.636	3000	1000
	alpha[147]	2.891	0.3716	0.04003	2.21	3.665	3000	1000
	alpha[148]	1.732	0.4143	0.04851	0.9459	2.601	3000	1000
	alpha[149]	2.565	0.3908	0.04652	1.813	3.348	3000	1000
	alpha[150]	3.156	0.3742	0.04384	2.425	3.93	3000	1000
	alpha[151]	1.992	0.722	0.05025	0.587	3.398	3000	1000
	alpha[152]	1.912	0.4047	0.04971	1.116	2.745	3000	1000
	alpha[153]	2.21	0.4068	0.04109	1.429	3.053	3000	1000
	alpha[154]	2.605	0.4765	0.04472	1.628	3.514	3000	1000
	alpha[155]	2.703	0.4093	0.03873	1.926	3.499	3000	1000
	alpha[156]	2.716	0.4199	0.04978	1.877	3.55	3000	1000
	alpha[157]	2.778	0.4181	0.04943	1.979	3.585	3000	1000
	alpha[158]	2.588	0.4002	0.04954	1.84	3.399	3000	1000
	alpha[159]	1.839	0.3912	0.04393	1.134	2.639	3000	1000
	alpha[160]	1.577	0.3965	0.04821	0.8073	2.381	3000	1000
	alpha[161]	4.632	0.4128	0.03276	3.817	5.423	3000	1000
	alpha[162]	2.442	0.422	0.04753	1.633	3.266	3000	1000
	alpha[163]	3.603	0.3271	0.02059	2.966	4.261	3000	1000
	alpha[164]	2.93	0.4254	0.04526	2.128	3.809	3000	1000
	alpha[165]	1.964	0.4662	0.04715	1.064	2.947	3000	1000
	alpha[166]	3.901	0.3868	0.04483	3.085	4.674	3000	1000
	alpha[167]	2.34	0.3947	0.03744	1.534	3.123	3000	1000
	alpha[168]	2.686	0.3744	0.03977	1.978	3.457	3000	1000
	alpha[169]	3.897	0.5402	0.04304	2.831	4.927	3000	1000
	alpha[170]	3.845	0.3938	0.04457	3.075	4.637	3000	1000
	alpha[171]	3.636	0.4879	0.05023	2.684	4.605	3000	1000
	alpha[172]	1.691	0.3873	0.04432	0.9413	2.493	3000	1000
	alpha[173]	3.481	0.4007	0.04642	2.719	4.349	3000	1000
	alpha[174]	1.81	0.44	0.04744	0.9195	2.638	3000	1000
	alpha[175]	3.506	0.425	0.02517	2.721	4.323	3000	1000
	alpha[176]	2.231	0.3877	0.03553	1.471	3.018	3000	1000
	alpha[177]	4.013	0.4602	0.04541	3.092	4.91	3000	1000
	alpha[178]	3.576	0.3779	0.03362	2.88	4.307	3000	1000
	alpha[179]	3.075	0.3989	0.04463	2.3	3.852	3000	1000
	alpha[180]	4.059	0.4263	0.04271	3.266	4.888	3000	1000
	alpha[181]	3.051	0.3951	0.0416	2.291	3.834	3000	1000
	alpha[182]	3.478	0.5391	0.04799	2.35	4.506	3000	1000
	alpha[183]	2.941	0.4314	0.04629	2.142	3.776	3000	1000
